FECHA;CENTRO DE ALTO RENDIMIENTO
1/01/2013 0:00;17.10
1/01/2013 1:00;33.80
1/01/2013 2:00;20.20
1/01/2013 3:00;19.10
1/01/2013 4:00;28.00
1/01/2013 5:00;19.70
1/01/2013 6:00;14.30
1/01/2013 7:00;
1/01/2013 8:00;
1/01/2013 9:00;7.50
1/01/2013 10:00;
1/01/2013 11:00;
1/01/2013 12:00;13.30
1/01/2013 13:00;4.90
1/01/2013 14:00;12.40
1/01/2013 15:00;
1/01/2013 16:00;9.80
1/01/2013 17:00;12.50
1/01/2013 18:00;9.90
1/01/2013 19:00;7.40
1/01/2013 20:00;5.80
1/01/2013 21:00;
1/01/2013 22:00;8.70
1/01/2013 23:00;8.70
2/01/2013 0:00;9.00
2/01/2013 1:00;15.00
2/01/2013 2:00;4.80
2/01/2013 3:00;4.60
2/01/2013 4:00;10.70
2/01/2013 5:00;8.70
2/01/2013 6:00;12.90
2/01/2013 7:00;
2/01/2013 8:00;19.00
2/01/2013 9:00;11.90
2/01/2013 10:00;
2/01/2013 11:00;5.30
2/01/2013 12:00;8.90
2/01/2013 13:00;8.90
2/01/2013 14:00;8.70
2/01/2013 15:00;
2/01/2013 16:00;16.70
2/01/2013 17:00;9.00
2/01/2013 18:00;10.70
2/01/2013 19:00;10.60
2/01/2013 20:00;13.10
2/01/2013 21:00;18.00
2/01/2013 22:00;23.80
2/01/2013 23:00;20.30
3/01/2013 0:00;26.00
3/01/2013 1:00;18.10
3/01/2013 2:00;17.60
3/01/2013 3:00;16.20
3/01/2013 4:00;15.20
3/01/2013 5:00;17.50
3/01/2013 6:00;17.40
3/01/2013 7:00;16.20
3/01/2013 8:00;10.90
3/01/2013 9:00;18.20
3/01/2013 10:00;14.00
3/01/2013 11:00;16.80
3/01/2013 12:00;3.40
3/01/2013 13:00;4.70
3/01/2013 14:00;13.70
3/01/2013 15:00;13.80
3/01/2013 16:00;15.50
3/01/2013 17:00;11.50
3/01/2013 18:00;23.70
3/01/2013 19:00;19.50
3/01/2013 20:00;18.90
3/01/2013 21:00;
3/01/2013 22:00;10.20
3/01/2013 23:00;14.90
4/01/2013 0:00;24.20
4/01/2013 1:00;18.50
4/01/2013 2:00;10.10
4/01/2013 3:00;13.60
4/01/2013 4:00;15.70
4/01/2013 5:00;10.40
4/01/2013 6:00;24.00
4/01/2013 7:00;29.40
4/01/2013 8:00;22.70
4/01/2013 9:00;13.40
4/01/2013 10:00;16.30
4/01/2013 11:00;11.60
4/01/2013 12:00;
4/01/2013 13:00;5.70
4/01/2013 14:00;8.50
4/01/2013 15:00;5.90
4/01/2013 16:00;13.40
4/01/2013 17:00;15.10
4/01/2013 18:00;15.40
4/01/2013 19:00;18.80
4/01/2013 20:00;18.00
4/01/2013 21:00;18.50
4/01/2013 22:00;8.40
4/01/2013 23:00;20.00
5/01/2013 0:00;6.20
5/01/2013 1:00;21.30
5/01/2013 2:00;17.40
5/01/2013 3:00;14.70
5/01/2013 4:00;8.50
5/01/2013 5:00;9.10
5/01/2013 6:00;15.00
5/01/2013 7:00;17.80
5/01/2013 8:00;
5/01/2013 9:00;15.80
5/01/2013 10:00;9.70
5/01/2013 11:00;
5/01/2013 12:00;10.40
5/01/2013 13:00;7.50
5/01/2013 14:00;10.30
5/01/2013 15:00;11.80
5/01/2013 16:00;
5/01/2013 17:00;12.40
5/01/2013 18:00;15.80
5/01/2013 19:00;4.90
5/01/2013 20:00;
5/01/2013 21:00;
5/01/2013 22:00;
5/01/2013 23:00;
6/01/2013 0:00;
6/01/2013 1:00;
6/01/2013 2:00;1.60
6/01/2013 3:00;
6/01/2013 4:00;3.10
6/01/2013 5:00;3.30
6/01/2013 6:00;8.40
6/01/2013 7:00;
6/01/2013 8:00;18.20
6/01/2013 9:00;7.70
6/01/2013 10:00;
6/01/2013 11:00;
6/01/2013 12:00;
6/01/2013 13:00;
6/01/2013 14:00;
6/01/2013 15:00;
6/01/2013 16:00;8.50
6/01/2013 17:00;
6/01/2013 18:00;9.10
6/01/2013 19:00;7.20
6/01/2013 20:00;
6/01/2013 21:00;8.50
6/01/2013 22:00;
6/01/2013 23:00;11.00
7/01/2013 0:00;10.70
7/01/2013 1:00;9.80
7/01/2013 2:00;13.00
7/01/2013 3:00;7.20
7/01/2013 4:00;12.70
7/01/2013 5:00;13.40
7/01/2013 6:00;8.70
7/01/2013 7:00;
7/01/2013 8:00;11.20
7/01/2013 9:00;15.10
7/01/2013 10:00;6.90
7/01/2013 11:00;
7/01/2013 12:00;9.00
7/01/2013 13:00;14.30
7/01/2013 14:00;8.60
7/01/2013 15:00;6.90
7/01/2013 16:00;7.10
7/01/2013 17:00;
7/01/2013 18:00;14.10
7/01/2013 19:00;8.20
7/01/2013 20:00;6.90
7/01/2013 21:00;8.10
7/01/2013 22:00;
7/01/2013 23:00;5.90
8/01/2013 0:00;15.30
8/01/2013 1:00;9.60
8/01/2013 2:00;5.60
8/01/2013 3:00;5.90
8/01/2013 4:00;6.20
8/01/2013 5:00;13.50
8/01/2013 6:00;15.80
8/01/2013 7:00;8.30
8/01/2013 8:00;
8/01/2013 9:00;
8/01/2013 10:00;
8/01/2013 11:00;12.40
8/01/2013 12:00;6.90
8/01/2013 13:00;6.60
8/01/2013 14:00;8.00
8/01/2013 15:00;8.00
8/01/2013 16:00;10.10
8/01/2013 17:00;9.90
8/01/2013 18:00;7.80
8/01/2013 19:00;
8/01/2013 20:00;9.50
8/01/2013 21:00;6.00
8/01/2013 22:00;7.70
8/01/2013 23:00;6.20
9/01/2013 0:00;8.70
9/01/2013 1:00;8.80
9/01/2013 2:00;10.10
9/01/2013 3:00;
9/01/2013 4:00;12.30
9/01/2013 5:00;8.80
9/01/2013 6:00;
9/01/2013 7:00;4.30
9/01/2013 8:00;6.90
9/01/2013 9:00;11.60
9/01/2013 10:00;5.20
9/01/2013 11:00;7.00
9/01/2013 12:00;9.10
9/01/2013 13:00;11.30
9/01/2013 14:00;
9/01/2013 15:00;9.50
9/01/2013 16:00;
9/01/2013 17:00;11.30
9/01/2013 18:00;11.40
9/01/2013 19:00;7.10
9/01/2013 20:00;8.70
9/01/2013 21:00;9.50
9/01/2013 22:00;6.40
9/01/2013 23:00;
10/01/2013 0:00;15.40
10/01/2013 1:00;12.20
10/01/2013 2:00;9.90
10/01/2013 3:00;12.80
10/01/2013 4:00;6.20
10/01/2013 5:00;10.90
10/01/2013 6:00;13.00
10/01/2013 7:00;38.00
10/01/2013 8:00;38.30
10/01/2013 9:00;21.90
10/01/2013 10:00;11.90
10/01/2013 11:00;17.60
10/01/2013 12:00;11.20
10/01/2013 13:00;12.60
10/01/2013 14:00;7.90
10/01/2013 15:00;16.50
10/01/2013 16:00;13.20
10/01/2013 17:00;9.30
10/01/2013 18:00;7.70
10/01/2013 19:00;21.20
10/01/2013 20:00;9.60
10/01/2013 21:00;4.90
10/01/2013 22:00;12.60
10/01/2013 23:00;13.50
11/01/2013 0:00;
11/01/2013 1:00;13.10
11/01/2013 2:00;15.00
11/01/2013 3:00;16.40
11/01/2013 4:00;19.40
11/01/2013 5:00;20.40
11/01/2013 6:00;34.70
11/01/2013 7:00;59.90
11/01/2013 8:00;76.90
11/01/2013 9:00;55.90
11/01/2013 10:00;34.50
11/01/2013 11:00;10.30
11/01/2013 12:00;4.20
11/01/2013 13:00;7.80
11/01/2013 14:00;12.70
11/01/2013 15:00;38.30
11/01/2013 16:00;29.50
11/01/2013 17:00;25.50
11/01/2013 18:00;25.20
11/01/2013 19:00;29.30
11/01/2013 20:00;31.60
11/01/2013 21:00;32.80
11/01/2013 22:00;38.10
11/01/2013 23:00;32.20
12/01/2013 0:00;27.30
12/01/2013 1:00;40.00
12/01/2013 2:00;35.90
12/01/2013 3:00;30.00
12/01/2013 4:00;42.30
12/01/2013 5:00;36.30
12/01/2013 6:00;40.70
12/01/2013 7:00;43.50
12/01/2013 8:00;52.20
12/01/2013 9:00;48.10
12/01/2013 10:00;33.40
12/01/2013 11:00;30.00
12/01/2013 12:00;24.30
12/01/2013 13:00;17.60
12/01/2013 14:00;15.60
12/01/2013 15:00;13.60
12/01/2013 16:00;18.30
12/01/2013 17:00;20.50
12/01/2013 18:00;26.00
12/01/2013 19:00;25.30
12/01/2013 20:00;34.50
12/01/2013 21:00;64.20
12/01/2013 22:00;37.60
12/01/2013 23:00;24.50
13/01/2013 0:00;35.90
13/01/2013 1:00;85.10
13/01/2013 2:00;77.10
13/01/2013 3:00;54.40
13/01/2013 4:00;41.30
13/01/2013 5:00;36.00
13/01/2013 6:00;39.00
13/01/2013 7:00;32.70
13/01/2013 8:00;40.30
13/01/2013 9:00;26.60
13/01/2013 10:00;24.00
13/01/2013 11:00;
13/01/2013 12:00;24.80
13/01/2013 13:00;19.60
13/01/2013 14:00;25.30
13/01/2013 15:00;23.70
13/01/2013 16:00;25.00
13/01/2013 17:00;27.40
13/01/2013 18:00;21.80
13/01/2013 19:00;25.10
13/01/2013 20:00;25.40
13/01/2013 21:00;26.70
13/01/2013 22:00;23.20
13/01/2013 23:00;28.90
14/01/2013 0:00;19.00
14/01/2013 1:00;26.70
14/01/2013 2:00;35.90
14/01/2013 3:00;30.40
14/01/2013 4:00;29.80
14/01/2013 5:00;33.90
14/01/2013 6:00;40.90
14/01/2013 7:00;31.80
14/01/2013 8:00;31.10
14/01/2013 9:00;43.30
14/01/2013 10:00;18.20
14/01/2013 11:00;24.20
14/01/2013 12:00;38.20
14/01/2013 13:00;52.60
14/01/2013 14:00;46.10
14/01/2013 15:00;52.30
14/01/2013 16:00;46.30
14/01/2013 17:00;33.60
14/01/2013 18:00;31.70
14/01/2013 19:00;28.80
14/01/2013 20:00;26.30
14/01/2013 21:00;31.20
14/01/2013 22:00;23.70
14/01/2013 23:00;39.20
15/01/2013 0:00;44.40
15/01/2013 1:00;22.30
15/01/2013 2:00;21.80
15/01/2013 3:00;27.20
15/01/2013 4:00;19.70
15/01/2013 5:00;30.10
15/01/2013 6:00;29.20
15/01/2013 7:00;34.50
15/01/2013 8:00;40.70
15/01/2013 9:00;34.10
15/01/2013 10:00;36.80
15/01/2013 11:00;60.00
15/01/2013 12:00;42.10
15/01/2013 13:00;43.80
15/01/2013 14:00;54.20
15/01/2013 15:00;46.60
15/01/2013 16:00;41.30
15/01/2013 17:00;40.30
15/01/2013 18:00;29.30
15/01/2013 19:00;31.40
15/01/2013 20:00;34.50
15/01/2013 21:00;27.70
15/01/2013 22:00;27.00
15/01/2013 23:00;17.20
16/01/2013 0:00;32.80
16/01/2013 1:00;29.30
16/01/2013 2:00;39.80
16/01/2013 3:00;40.80
16/01/2013 4:00;38.60
16/01/2013 5:00;43.10
16/01/2013 6:00;45.50
16/01/2013 7:00;42.10
16/01/2013 8:00;39.50
16/01/2013 9:00;23.30
16/01/2013 10:00;41.50
16/01/2013 11:00;49.70
16/01/2013 12:00;48.10
16/01/2013 13:00;28.30
16/01/2013 14:00;34.30
16/01/2013 15:00;25.90
16/01/2013 16:00;23.10
16/01/2013 17:00;23.30
16/01/2013 18:00;22.30
16/01/2013 19:00;24.90
16/01/2013 20:00;30.50
16/01/2013 21:00;30.50
16/01/2013 22:00;30.40
16/01/2013 23:00;39.20
17/01/2013 0:00;49.80
17/01/2013 1:00;43.10
17/01/2013 2:00;35.10
17/01/2013 3:00;34.50
17/01/2013 4:00;28.40
17/01/2013 5:00;31.40
17/01/2013 6:00;38.10
17/01/2013 7:00;45.40
17/01/2013 8:00;52.30
17/01/2013 9:00;60.10
17/01/2013 10:00;28.50
17/01/2013 11:00;26.80
17/01/2013 12:00;37.20
17/01/2013 13:00;70.30
17/01/2013 14:00;59.20
17/01/2013 15:00;56.30
17/01/2013 16:00;51.60
17/01/2013 17:00;50.10
17/01/2013 18:00;54.10
17/01/2013 19:00;50.30
17/01/2013 20:00;46.80
17/01/2013 21:00;55.30
17/01/2013 22:00;65.50
17/01/2013 23:00;50.10
18/01/2013 0:00;53.20
18/01/2013 1:00;38.80
18/01/2013 2:00;37.80
18/01/2013 3:00;28.20
18/01/2013 4:00;26.40
18/01/2013 5:00;23.40
18/01/2013 6:00;24.80
18/01/2013 7:00;38.80
18/01/2013 8:00;15.70
18/01/2013 9:00;19.80
18/01/2013 10:00;31.40
18/01/2013 11:00;23.20
18/01/2013 12:00;24.80
18/01/2013 13:00;31.80
18/01/2013 14:00;27.80
18/01/2013 15:00;41.20
18/01/2013 16:00;36.20
18/01/2013 17:00;43.00
18/01/2013 18:00;42.10
18/01/2013 19:00;41.20
18/01/2013 20:00;34.00
18/01/2013 21:00;34.50
18/01/2013 22:00;31.00
18/01/2013 23:00;34.10
19/01/2013 0:00;36.20
19/01/2013 1:00;33.00
19/01/2013 2:00;34.60
19/01/2013 3:00;28.20
19/01/2013 4:00;28.50
19/01/2013 5:00;35.50
19/01/2013 6:00;33.50
19/01/2013 7:00;52.10
19/01/2013 8:00;47.00
19/01/2013 9:00;31.50
19/01/2013 10:00;17.80
19/01/2013 11:00;10.40
19/01/2013 12:00;6.80
19/01/2013 13:00;13.80
19/01/2013 14:00;16.50
19/01/2013 15:00;11.00
19/01/2013 16:00;14.70
19/01/2013 17:00;11.90
19/01/2013 18:00;26.60
19/01/2013 19:00;30.80
19/01/2013 20:00;14.40
19/01/2013 21:00;14.60
19/01/2013 22:00;21.00
19/01/2013 23:00;17.80
20/01/2013 0:00;26.50
20/01/2013 1:00;23.00
20/01/2013 2:00;28.60
20/01/2013 3:00;11.90
20/01/2013 4:00;21.90
20/01/2013 5:00;27.10
20/01/2013 6:00;26.50
20/01/2013 7:00;26.10
20/01/2013 8:00;21.10
20/01/2013 9:00;23.20
20/01/2013 10:00;14.90
20/01/2013 11:00;6.90
20/01/2013 12:00;
20/01/2013 13:00;
20/01/2013 14:00;8.80
20/01/2013 15:00;18.90
20/01/2013 16:00;13.20
20/01/2013 17:00;10.80
20/01/2013 18:00;10.40
20/01/2013 19:00;12.70
20/01/2013 20:00;13.60
20/01/2013 21:00;12.00
20/01/2013 22:00;5.80
20/01/2013 23:00;14.00
21/01/2013 0:00;7.80
21/01/2013 1:00;13.30
21/01/2013 2:00;12.60
21/01/2013 3:00;13.70
21/01/2013 4:00;15.70
21/01/2013 5:00;16.20
21/01/2013 6:00;21.70
21/01/2013 7:00;40.10
21/01/2013 8:00;31.40
21/01/2013 9:00;10.90
21/01/2013 10:00;9.30
21/01/2013 11:00;7.10
21/01/2013 12:00;10.30
21/01/2013 13:00;8.40
21/01/2013 14:00;
21/01/2013 15:00;15.00
21/01/2013 16:00;41.20
21/01/2013 17:00;24.70
21/01/2013 18:00;31.00
21/01/2013 19:00;24.40
21/01/2013 20:00;12.40
21/01/2013 21:00;6.50
21/01/2013 22:00;14.00
21/01/2013 23:00;17.50
22/01/2013 0:00;14.10
22/01/2013 1:00;24.20
22/01/2013 2:00;16.90
22/01/2013 3:00;13.90
22/01/2013 4:00;17.30
22/01/2013 5:00;18.40
22/01/2013 6:00;22.30
22/01/2013 7:00;24.70
22/01/2013 8:00;24.60
22/01/2013 9:00;51.30
22/01/2013 10:00;37.40
22/01/2013 11:00;21.00
22/01/2013 12:00;5.80
22/01/2013 13:00;13.50
22/01/2013 14:00;44.60
22/01/2013 15:00;27.00
22/01/2013 16:00;10.60
22/01/2013 17:00;13.70
22/01/2013 18:00;10.60
22/01/2013 19:00;8.10
22/01/2013 20:00;8.70
22/01/2013 21:00;10.70
22/01/2013 22:00;9.40
22/01/2013 23:00;17.40
23/01/2013 0:00;12.70
23/01/2013 1:00;19.10
23/01/2013 2:00;17.80
23/01/2013 3:00;19.30
23/01/2013 4:00;17.90
23/01/2013 5:00;16.60
23/01/2013 6:00;26.00
23/01/2013 7:00;42.70
23/01/2013 8:00;25.90
23/01/2013 9:00;20.50
23/01/2013 10:00;30.90
23/01/2013 11:00;40.80
23/01/2013 12:00;43.20
23/01/2013 13:00;29.30
23/01/2013 14:00;44.70
23/01/2013 15:00;44.30
23/01/2013 16:00;12.90
23/01/2013 17:00;27.40
23/01/2013 18:00;16.80
23/01/2013 19:00;21.00
23/01/2013 20:00;24.40
23/01/2013 21:00;26.60
23/01/2013 22:00;46.50
23/01/2013 23:00;38.10
24/01/2013 0:00;37.30
24/01/2013 1:00;37.90
24/01/2013 2:00;28.70
24/01/2013 3:00;26.00
24/01/2013 4:00;24.80
24/01/2013 5:00;33.10
24/01/2013 6:00;40.20
24/01/2013 7:00;82.70
24/01/2013 8:00;57.70
24/01/2013 9:00;77.90
24/01/2013 10:00;64.40
24/01/2013 11:00;39.90
24/01/2013 12:00;35.80
24/01/2013 13:00;16.90
24/01/2013 14:00;19.50
24/01/2013 15:00;21.10
24/01/2013 16:00;27.30
24/01/2013 17:00;31.10
24/01/2013 18:00;24.90
24/01/2013 19:00;20.40
24/01/2013 20:00;26.70
24/01/2013 21:00;25.20
24/01/2013 22:00;22.20
24/01/2013 23:00;25.60
25/01/2013 0:00;34.00
25/01/2013 1:00;27.20
25/01/2013 2:00;37.40
25/01/2013 3:00;36.30
25/01/2013 4:00;20.00
25/01/2013 5:00;16.50
25/01/2013 6:00;12.60
25/01/2013 7:00;29.00
25/01/2013 8:00;44.80
25/01/2013 9:00;60.80
25/01/2013 10:00;55.40
25/01/2013 11:00;59.40
25/01/2013 12:00;42.60
25/01/2013 13:00;37.60
25/01/2013 14:00;39.10
25/01/2013 15:00;32.00
25/01/2013 16:00;51.00
25/01/2013 17:00;32.40
25/01/2013 18:00;30.10
25/01/2013 19:00;29.90
25/01/2013 20:00;29.00
25/01/2013 21:00;17.60
25/01/2013 22:00;25.30
25/01/2013 23:00;31.30
26/01/2013 0:00;38.80
26/01/2013 1:00;23.80
26/01/2013 2:00;20.80
26/01/2013 3:00;31.50
26/01/2013 4:00;25.70
26/01/2013 5:00;21.10
26/01/2013 6:00;33.70
26/01/2013 7:00;29.60
26/01/2013 8:00;22.70
26/01/2013 9:00;24.20
26/01/2013 10:00;27.50
26/01/2013 11:00;28.50
26/01/2013 12:00;56.00
26/01/2013 13:00;40.90
26/01/2013 14:00;34.70
26/01/2013 15:00;14.20
26/01/2013 16:00;21.50
26/01/2013 17:00;14.60
26/01/2013 18:00;24.40
26/01/2013 19:00;17.60
26/01/2013 20:00;11.30
26/01/2013 21:00;11.10
26/01/2013 22:00;16.50
26/01/2013 23:00;22.00
27/01/2013 0:00;19.80
27/01/2013 1:00;31.10
27/01/2013 2:00;21.80
27/01/2013 3:00;22.70
27/01/2013 4:00;19.70
27/01/2013 5:00;34.60
27/01/2013 6:00;32.40
27/01/2013 7:00;29.70
27/01/2013 8:00;25.50
27/01/2013 9:00;28.30
27/01/2013 10:00;21.20
27/01/2013 11:00;13.90
27/01/2013 12:00;18.50
27/01/2013 13:00;27.30
27/01/2013 14:00;44.60
27/01/2013 15:00;28.30
27/01/2013 16:00;28.50
27/01/2013 17:00;23.70
27/01/2013 18:00;19.30
27/01/2013 19:00;21.40
27/01/2013 20:00;11.50
27/01/2013 21:00;11.70
27/01/2013 22:00;7.40
27/01/2013 23:00;9.00
28/01/2013 0:00;7.70
28/01/2013 1:00;13.30
28/01/2013 2:00;10.70
28/01/2013 3:00;7.40
28/01/2013 4:00;14.60
28/01/2013 5:00;9.20
28/01/2013 6:00;13.30
28/01/2013 7:00;28.30
28/01/2013 8:00;47.40
28/01/2013 9:00;20.60
28/01/2013 10:00;2.40
28/01/2013 11:00;6.00
28/01/2013 12:00;8.70
28/01/2013 13:00;15.40
28/01/2013 14:00;12.00
28/01/2013 15:00;10.80
28/01/2013 16:00;15.40
28/01/2013 17:00;13.10
28/01/2013 18:00;14.20
28/01/2013 19:00;18.50
28/01/2013 20:00;12.50
28/01/2013 21:00;10.90
28/01/2013 22:00;27.50
28/01/2013 23:00;27.90
29/01/2013 0:00;36.00
29/01/2013 1:00;24.80
29/01/2013 2:00;22.90
29/01/2013 3:00;18.20
29/01/2013 4:00;17.50
29/01/2013 5:00;24.10
29/01/2013 6:00;28.20
29/01/2013 7:00;68.20
29/01/2013 8:00;58.50
29/01/2013 9:00;46.60
29/01/2013 10:00;59.80
29/01/2013 11:00;36.90
29/01/2013 12:00;
29/01/2013 13:00;10.10
29/01/2013 14:00;
29/01/2013 15:00;
29/01/2013 16:00;33.70
29/01/2013 17:00;32.10
29/01/2013 18:00;18.70
29/01/2013 19:00;7.20
29/01/2013 20:00;17.10
29/01/2013 21:00;17.30
29/01/2013 22:00;18.20
29/01/2013 23:00;20.00
30/01/2013 0:00;11.80
30/01/2013 1:00;28.20
30/01/2013 2:00;31.90
30/01/2013 3:00;30.30
30/01/2013 4:00;19.50
30/01/2013 5:00;20.20
30/01/2013 6:00;40.20
30/01/2013 7:00;49.90
30/01/2013 8:00;41.90
30/01/2013 9:00;55.40
30/01/2013 10:00;24.90
30/01/2013 11:00;13.70
30/01/2013 12:00;7.10
30/01/2013 13:00;9.40
30/01/2013 14:00;18.40
30/01/2013 15:00;16.60
30/01/2013 16:00;13.50
30/01/2013 17:00;25.30
30/01/2013 18:00;19.20
30/01/2013 19:00;8.80
30/01/2013 20:00;12.60
30/01/2013 21:00;6.60
30/01/2013 22:00;16.10
30/01/2013 23:00;17.10
31/01/2013 0:00;
31/01/2013 1:00;
31/01/2013 2:00;
31/01/2013 3:00;18.30
31/01/2013 4:00;21.00
31/01/2013 5:00;16.20
31/01/2013 6:00;29.00
31/01/2013 7:00;62.30
31/01/2013 8:00;18.20
31/01/2013 9:00;25.20
31/01/2013 10:00;7.40
31/01/2013 11:00;10.60
31/01/2013 12:00;18.20
31/01/2013 13:00;16.90
31/01/2013 14:00;33.70
31/01/2013 15:00;28.10
31/01/2013 16:00;34.20
31/01/2013 17:00;30.30
31/01/2013 18:00;28.50
31/01/2013 19:00;27.30
31/01/2013 20:00;21.70
31/01/2013 21:00;32.10
31/01/2013 22:00;30.50
31/01/2013 23:00;30.40
1/02/2013 0:00;28.40
1/02/2013 1:00;42.10
1/02/2013 2:00;35.00
1/02/2013 3:00;47.50
1/02/2013 4:00;41.10
1/02/2013 5:00;28.30
1/02/2013 6:00;42.70
1/02/2013 7:00;55.50
1/02/2013 8:00;39.30
1/02/2013 9:00;55.10
1/02/2013 10:00;
1/02/2013 11:00;
1/02/2013 12:00;31.80
1/02/2013 13:00;37.40
1/02/2013 14:00;31.90
1/02/2013 15:00;22.00
1/02/2013 16:00;27.20
1/02/2013 17:00;38.20
1/02/2013 18:00;31.60
1/02/2013 19:00;29.70
1/02/2013 20:00;25.10
1/02/2013 21:00;40.10
1/02/2013 22:00;19.10
1/02/2013 23:00;29.90
2/02/2013 0:00;40.70
2/02/2013 1:00;38.80
2/02/2013 2:00;42.80
2/02/2013 3:00;31.40
2/02/2013 4:00;24.10
2/02/2013 5:00;19.30
2/02/2013 6:00;25.10
2/02/2013 7:00;25.50
2/02/2013 8:00;8.60
2/02/2013 9:00;7.40
2/02/2013 10:00;10.90
2/02/2013 11:00;12.60
2/02/2013 12:00;7.60
2/02/2013 13:00;10.90
2/02/2013 14:00;9.30
2/02/2013 15:00;27.90
2/02/2013 16:00;31.80
2/02/2013 17:00;33.80
2/02/2013 18:00;19.90
2/02/2013 19:00;16.70
2/02/2013 20:00;19.40
2/02/2013 21:00;32.10
2/02/2013 22:00;25.90
2/02/2013 23:00;17.10
3/02/2013 0:00;20.00
3/02/2013 1:00;24.80
3/02/2013 2:00;32.80
3/02/2013 3:00;24.00
3/02/2013 4:00;21.10
3/02/2013 5:00;19.80
3/02/2013 6:00;30.70
3/02/2013 7:00;30.00
3/02/2013 8:00;36.90
3/02/2013 9:00;45.60
3/02/2013 10:00;44.20
3/02/2013 11:00;25.40
3/02/2013 12:00;20.50
3/02/2013 13:00;38.00
3/02/2013 14:00;35.10
3/02/2013 15:00;36.00
3/02/2013 16:00;16.00
3/02/2013 17:00;23.80
3/02/2013 18:00;19.10
3/02/2013 19:00;18.60
3/02/2013 20:00;13.50
3/02/2013 21:00;19.10
3/02/2013 22:00;17.70
3/02/2013 23:00;11.50
4/02/2013 0:00;21.20
4/02/2013 1:00;16.90
4/02/2013 2:00;21.30
4/02/2013 3:00;21.10
4/02/2013 4:00;27.90
4/02/2013 5:00;17.20
4/02/2013 6:00;44.90
4/02/2013 7:00;49.70
4/02/2013 8:00;50.10
4/02/2013 9:00;48.50
4/02/2013 10:00;34.30
4/02/2013 11:00;30.30
4/02/2013 12:00;28.40
4/02/2013 13:00;40.50
4/02/2013 14:00;40.40
4/02/2013 15:00;30.90
4/02/2013 16:00;37.90
4/02/2013 17:00;29.00
4/02/2013 18:00;16.40
4/02/2013 19:00;21.90
4/02/2013 20:00;27.30
4/02/2013 21:00;17.10
4/02/2013 22:00;25.40
4/02/2013 23:00;22.80
5/02/2013 0:00;34.80
5/02/2013 1:00;22.30
5/02/2013 2:00;21.60
5/02/2013 3:00;18.30
5/02/2013 4:00;18.80
5/02/2013 5:00;21.40
5/02/2013 6:00;29.90
5/02/2013 7:00;50.80
5/02/2013 8:00;55.50
5/02/2013 9:00;19.70
5/02/2013 10:00;13.10
5/02/2013 11:00;22.20
5/02/2013 12:00;16.80
5/02/2013 13:00;34.00
5/02/2013 14:00;60.50
5/02/2013 15:00;54.50
5/02/2013 16:00;39.30
5/02/2013 17:00;40.00
5/02/2013 18:00;28.50
5/02/2013 19:00;21.60
5/02/2013 20:00;19.30
5/02/2013 21:00;29.50
5/02/2013 22:00;22.10
5/02/2013 23:00;24.80
6/02/2013 0:00;23.40
6/02/2013 1:00;24.70
6/02/2013 2:00;23.40
6/02/2013 3:00;33.40
6/02/2013 4:00;26.20
6/02/2013 5:00;21.30
6/02/2013 6:00;44.10
6/02/2013 7:00;66.90
6/02/2013 8:00;44.00
6/02/2013 9:00;35.80
6/02/2013 10:00;37.50
6/02/2013 11:00;28.70
6/02/2013 12:00;53.10
6/02/2013 13:00;42.80
6/02/2013 14:00;36.90
6/02/2013 15:00;33.40
6/02/2013 16:00;32.00
6/02/2013 17:00;19.50
6/02/2013 18:00;29.70
6/02/2013 19:00;26.40
6/02/2013 20:00;33.00
6/02/2013 21:00;14.30
6/02/2013 22:00;28.00
6/02/2013 23:00;20.00
7/02/2013 0:00;21.60
7/02/2013 1:00;25.60
7/02/2013 2:00;26.20
7/02/2013 3:00;22.60
7/02/2013 4:00;24.50
7/02/2013 5:00;18.20
7/02/2013 6:00;20.20
7/02/2013 7:00;26.90
7/02/2013 8:00;46.30
7/02/2013 9:00;46.00
7/02/2013 10:00;39.90
